Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Export Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%)
China,Turkmenistan,2020,Export,  All Products,443488.59,100,,,
China,East Timor,2020,Export,  All Products,191272.4,100,,,
China,Tonga,2020,Export,  All Products,33718.77,100,,,
China,Trinidad and Tobago,2020,Export,  All Products,341200.03,100,1,-12.29,-7.2
China,Tunisia,2020,Export,  All Products,1427658.17,100,,,
China,Turkey,2020,Export,  All Products,20346420.26,100,1,2.16,9.75
China,Tuvalu,2020,Export,  All Products,16141.02,100,,,
China,Tanzania,2020,Export,  All Products,4174266.14,100,1,-3.02,4.15
China,Uganda,2020,Export,  All Products,790287.29,100,1,3.54,3.73
China,Ukraine,2020,Export,  All Products,6877930.39,100,1,-6.04,-5.3
China,Unspecified,2020,Export,  All Products,16977.65,100,,,
China,Uruguay,2020,Export,  All Products,1703048.07,100,1,-4.22,-5.47
China,United States,2020,Export,  All Products,452492876.3,100,1,-3.21,-1.63
China,Uzbekistan,2020,Export,  All Products,5138707.66,100,1,-4.32,-6.21
China,Holy See,2020,Export,  All Products,726.4,100,,,
China,St. Vincent and the Grenadines,2020,Export,  All Products,10189.16,100,,,
China,Venezuela,2020,Export,  All Products,1518839.4,100,,,
China,British Virgin Islands,2020,Export,  All Products,8905.43,100,,,
China,Vietnam,2020,Export,  All Products,113815239.4,100,1,1.54,5.54
China,Vanuatu,2020,Export,  All Products,72411.51,100,,,
China, World,2020,Export,  All Products,2589098353,100,1,-3.91,-0.86
China,Wallis and Futura Isl.,2020,Export,  All Products,880.8,100,,,
China,Samoa,2020,Export,  All Products,87306.46,100,,,
China,Yemen,2020,Export,  All Products,2881276.8,100,,,
China,South Africa,2020,Export,  All Products,15238825.62,100,1,-11.51,-6.2
China,"Congo, Dem. Rep.",2020,Export,  All Products,2013411.04,100,1,-13.11,-9.38
China,Zambia,2020,Export,  All Products,681339,100,1,-14.22,-6.44
China,Zimbabwe,2020,Export,  All Products,524709.49,100,1,2.68,6.92
